окно,вход_МСК,напр,R,PnL$,выход,сессия,день,глубина_POI,класс_POI,D1биас,по/против,MFE_R,до_PDH/PDL_R,стоп_пипс,удерж_дней
W6,2021-08-04 11:15,S,-1.04,-207,SL,Лондон,ср,1.12,глубже CE,S,по,0.36,0.70,28,0.2
W6,2021-09-24 16:00,S,2.99,585,TP,НЙ,пт,,н/д,S,по,3.11,0.12,44,5.9
W6,2021-10-05 18:00,L,-1.04,-216,SL,НЙ,вт,,н/д,S,против,0.38,0.75,24,0.6
W6,2021-11-18 18:15,L,-1.04,-212,SL,НЙ,чт,,н/д,S,против,0.99,0.99,24,0.7
W6,2021-12-03 18:00,S,-1.02,-202,SL,НЙ,пт,,н/д,S,по,0.85,0.16,57,5.0
W6,2021-12-31 16:45,L,-1.02,-199,SL,НЙ,пт,2.06,глубже CE,L,по,0.76,0.76,50,3.1
W6,2022-01-31 16:30,L,2.99,570,TP,НЙ,пн,5.76,глубже CE,S,против,3.16,1.66,38,1.9
W6,2022-02-16 22:00,L,-1.03,-208,SL,НЙ,ср,-1.16,у края,L,по,0.11,0.11,39,0.4
W6,2022-03-28 14:30,S,-1.03,-204,SL,Ланч,пн,4.03,глубже CE,S,по,0.42,0.47,37,0.2
W6,2022-04-04 15:00,S,2.98,579,TP,НЙ,пн,-3.90,у края,S,по,3.07,1.63,27,1.1
W6,2022-04-18 18:15,S,-1.04,-213,SL,НЙ,пн,-2.47,у края,S,по,0.93,0.62,28,0.7
W6,2022-04-29 17:45,L,-1.03,-207,SL,НЙ,пт,,н/д,S,против,0.86,1.24,37,2.9
W6,2022-05-16 22:00,L,2.99,590,TP,НЙ,пн,,н/д,S,против,3.03,0.06,51,2.8
W5,2022-07-15 18:00,L,2.99,598,TP,НЙ,пт,,н/д,S,против,3.12,0.24,46,3.7
W5,2022-09-20 11:00,S,2.99,633,TP,Лондон,вт,11.39,глубже CE,S,по,3.30,1.48,39,0.9
W5,2022-10-20 15:30,S,-1.03,-231,SL,НЙ,чт,1.02,глубже CE,S,по,0.74,1.49,33,0.1
W5,2022-10-24 15:00,L,2.99,658,TP,НЙ,пн,0.37,до CE,L,по,3.33,1.04,45,1.8
W5,2022-11-18 11:15,S,-1.02,-239,SL,Лондон,пт,0.70,глубже CE,L,против,0.16,0.84,42,0.1
W5,2022-12-16 12:30,S,0.19,42,TIME,Лондон,пт,,н/д,L,против,1.03,0.78,44,7.0
W5,2022-12-23 17:30,S,-1.07,-246,SL,НЙ,пт,1.93,глубже CE,L,против,0.37,0.56,30,3.3
