окно,вход_МСК,напр,R,PnL$,выход,сессия,день,глубина_POI,класс_POI,D1биас,по/против,MFE_R,до_PDH/PDL_R,стоп_пипс,удерж_дней
W6,2021-10-11 10:00,L,1.22,243,TIME,Лондон,пн,,,,,,,50.6,7.0
W6,2021-10-18 10:30,S,-1.03,-211,SL,Лондон,пн,,,,,,,34.8,0.8
W6,2021-11-09 12:30,L,-1.02,-206,SL,Лондон,вт,,,,,,,40.6,0.2
W6,2022-01-20 16:15,L,-1.03,-202,SL,НЙ,чт,,,,,,,38.9,0.4
W6,2022-02-11 21:30,S,-1.03,-197,SL,НЙ,пт,,,,,,,38.6,4.9
W5,2022-06-16 18:45,L,-1.02,-204,SL,НЙ,чт,,,,,,,54.4,0.9
W5,2022-06-27 16:00,L,-1.03,-202,SL,НЙ,пн,,,,,,,32.0,1.3
W5,2022-07-22 14:15,L,-1.03,-197,SL,Лондон,пт,,,,,,,39.4,2.6
W5,2022-08-29 17:45,S,-1.02,-193,SL,НЙ,пн,,,,,,,40.1,0.7
W5,2022-08-31 12:45,S,2.28,419,TIME,Лондон,ср,,,,,,,52.7,7.0
W5,2022-09-29 12:30,L,-1.02,-197,SL,Лондон,чт,,,,,,,41.3,1.2
W5,2022-10-14 15:45,L,-1.02,-193,SL,НЙ,пт,,,,,,,45.2,0.0
W5,2022-10-20 15:30,S,-1.03,-190,SL,НЙ,чт,,,,,,,33.7,0.1
W5,2022-11-09 11:30,L,-1.03,-185,SL,Лондон,ср,,,,,,,39.5,0.1
W5,2023-02-16 15:15,S,2.99,529,TP,Лондон,чт,,,,,,,33.6,6.3
W5,2023-03-06 14:15,S,1.48,278,TIME,Лондон,пн,,,,,,,54.2,7.0
W4,2023-07-03 16:45,L,-1.02,-205,SL,НЙ,пн,,,,,,,40.1,2.6
W4,2023-07-10 16:45,L,2.98,585,TP,НЙ,пн,,,,,,,33.0,2.0
W4,2023-08-09 18:00,S,-1.02,-212,SL,НЙ,ср,,,,,,,46.0,0.9
W4,2023-08-15 16:00,L,-1.03,-210,SL,НЙ,вт,,,,,,,30.3,0.3
W4,2023-08-16 21:00,S,-0.84,-168,TIME,НЙ,ср,,,,,,,53.1,7.0
W4,2023-08-23 21:30,L,-1.02,-199,SL,НЙ,ср,,,,,,,58.6,1.4
W4,2023-08-25 17:15,S,-1.02,-196,SL,НЙ,пт,,,,,,,43.5,3.5
W4,2023-08-29 18:15,L,-1.02,-191,SL,НЙ,вт,,,,,,,59.2,6.6
W4,2023-09-13 16:15,L,1.97,363,TIME,НЙ,ср,,,,,,,38.5,7.0
W4,2023-10-09 20:45,L,-1.02,-195,SL,НЙ,пн,,,,,,,58.6,2.9
W4,2023-11-02 12:15,L,-0.72,-135,TIME,Лондон,чт,,,,,,,53.9,7.0
W4,2023-12-19 15:00,L,1.54,285,TIME,Лондон,вт,,,,,,,46.0,7.0
W3,2024-02-20 12:45,L,-0.08,-16,TIME,Лондон,вт,,,,,,,57.4,7.0
W3,2024-04-01 18:15,S,-1.02,-203,SL,НЙ,пн,,,,,,,55.1,1.9
W3,2024-05-14 15:30,L,1.62,317,TIME,НЙ,вт,,,,,,,34.8,7.0
W3,2024-05-29 23:30,S,-1.02,-206,SL,НЙ,ср,,,,,,,54.8,1.7
W3,2024-09-12 17:45,L,2.99,591,TP,НЙ,чт,,,,,,,34.3,6.1
W3,2024-11-06 14:15,S,-1.03,-217,SL,Лондон,ср,,,,,,,30.3,0.6
W2,2025-01-06 14:00,L,-1.02,-205,SL,Лондон,пн,,,,,,,40.9,1.6
W2,2025-01-21 18:30,L,-0.29,-57,TIME,НЙ,вт,,,,,,,49.1,7.0
W2,2025-04-23 18:00,S,-1.02,-200,SL,НЙ,ср,,,,,,,40.9,5.5
W2,2025-06-17 14:00,L,-1.03,-196,SL,Лондон,вт,,,,,,,39.4,0.2
W1,2025-11-07 22:30,L,1.21,242,TIME,НЙ,пт,,,,,,,33.4,7.0
W1,2026-02-17 17:45,S,-1.02,-208,SL,НЙ,вт,,,,,,,58.6,5.4
W1,2026-03-05 12:00,L,-1.02,-204,SL,Лондон,чт,,,,,,,55.0,0.3
W1,2026-03-13 14:45,L,-1.03,-202,SL,Лондон,пт,,,,,,,33.6,0.1
W1,2026-03-31 20:00,L,0.88,169,TIME,НЙ,вт,,,,,,,58.2,7.0
W1,2026-04-27 15:00,L,-1.03,-201,SL,НЙ,пн,,,,,,,36.4,1.0
W1,2026-05-12 22:00,L,-1.03,-198,SL,НЙ,вт,,,,,,,30.5,2.2
