окно,вход_МСК,напр,R,PnL$,выход,сессия,день,глубина_POI,класс_POI,D1биас,по/против,MFE_R,до_PDH/PDL_R,стоп_пипс,удерж_дней
W6,2021-08-27 18:45,S,-1.02,-205,SL,НЙ,пт,,,,,,,42.9,4.6
W6,2021-10-22 13:00,S,-1.02,-200,SL,Лондон,пт,,,,,,,43.1,4.2
W6,2021-12-16 13:00,L,-1.02,-196,SL,Лондон,чт,,,,,,,41.3,0.2
W6,2021-12-17 14:30,S,-1.03,-193,SL,Лондон,пт,,,,,,,39.4,4.1
W6,2022-01-20 16:30,S,-1.02,-188,SL,НЙ,чт,,,,,,,44.0,6.3
W6,2022-05-16 10:15,L,-1.02,-184,SL,Лондон,пн,,,,,,,47.3,2.3
W5,2022-07-05 10:30,S,2.98,596,TP,Лондон,вт,,,,,,,31.9,0.9
W5,2022-09-14 20:00,L,2.57,546,TIME,НЙ,ср,,,,,,,50.2,7.0
W5,2022-11-08 11:45,S,2.98,665,TP,Лондон,вт,,,,,,,33.8,0.3
W5,2022-12-12 15:45,L,-1.02,-241,SL,Лондон,пн,,,,,,,46.3,1.0
W4,2023-04-04 10:00,S,-1.03,-206,SL,Лондон,вт,,,,,,,34.5,0.1
W4,2023-04-26 10:45,S,-1.02,-199,SL,Лондон,ср,,,,,,,58.5,1.2
W4,2023-06-06 23:45,S,-1.03,-197,SL,НЙ,вт,,,,,,,36.8,0.8
W4,2023-06-09 15:30,S,-1.02,-191,SL,НЙ,пт,,,,,,,55.1,3.1
W4,2023-06-21 13:30,S,-1.03,-189,SL,Лондон,ср,,,,,,,36.3,0.1
W4,2023-08-07 15:45,S,-1.02,-184,SL,НЙ,пн,,,,,,,43.8,0.1
W4,2023-08-24 17:00,S,-1.02,-180,SL,НЙ,чт,,,,,,,43.0,0.4
W4,2023-08-30 15:30,S,-1.02,-176,SL,НЙ,ср,,,,,,,60.1,5.5
W4,2023-10-05 16:15,S,-1.02,-173,SL,НЙ,чт,,,,,,,41.8,1.0
W4,2023-10-10 18:00,S,-1.03,-171,SL,НЙ,вт,,,,,,,34.0,1.0
W4,2023-12-21 12:30,S,2.98,485,TP,Лондон,чт,,,,,,,37.7,0.6
W4,2024-01-09 12:15,S,-1.02,-176,SL,Лондон,вт,,,,,,,48.8,0.3
W4,2024-01-25 13:00,S,-1.03,-174,SL,Лондон,чт,,,,,,,31.9,0.1
W3,2024-05-28 16:15,S,-1.03,-205,SL,НЙ,вт,,,,,,,35.5,0.1
W3,2024-05-31 16:30,S,-1.02,-199,SL,НЙ,пт,,,,,,,55.7,2.6
W3,2024-08-14 12:30,S,-1.02,-196,SL,Лондон,ср,,,,,,,47.0,0.1
W2,2025-01-03 18:00,L,-1.02,-205,SL,НЙ,пт,,,,,,,41.1,0.1
W2,2025-02-26 11:30,S,-1.03,-201,SL,Лондон,ср,,,,,,,33.8,0.2
W2,2025-07-10 23:30,S,-1.02,-195,SL,НЙ,чт,,,,,,,58.7,0.2
W2,2025-08-04 14:00,S,-0.65,-122,TIME,Лондон,пн,,,,,,,59.5,7.0
W2,2025-08-11 14:30,L,-1.02,-189,SL,Лондон,пн,,,,,,,51.8,1.9
W2,2025-08-29 11:30,S,-1.03,-187,SL,Лондон,пт,,,,,,,31.1,0.1
W1,2025-10-03 17:00,L,4.49,898,TP,НЙ,пт,,,,,,,43.3,2.3
W1,2025-10-14 10:15,L,-1.03,-224,SL,Лондон,вт,,,,,,,33.9,0.5
W1,2025-12-08 11:15,L,-0.56,-119,TIME,Лондон,пн,,,,,,,54.6,7.0
W1,2025-12-17 17:15,L,2.99,631,TP,НЙ,ср,,,,,,,48.4,1.8
W1,2026-01-23 19:15,S,2.98,667,TP,НЙ,пт,,,,,,,54.8,0.1
W1,2026-07-16 15:45,L,2.98,707,TP,НЙ,чт,,,,,,,40.2,6.9
W1,2026-07-29 21:00,S,2.98,750,TP,НЙ,ср,,,,,,,39.9,0.7
