# NAS100 TRD export, riskPct=2, baseline config (in_20=false), 13.07.2026
# TRD|dir|entryMs|exitMs|entry|sl|tp|profit
# window 2021-10-01 (Итог -156.76 / 14)
TRD|S|1624289400000|1624297200000|14103.5|14141.6|13993.4|-203.32
TRD|S|1624372800000|1624374300000|14164.8|14193.4|14076|-201.28
TRD|S|1624458900000|1624466100000|14291.4|14327.3|14251.3|209.88
TRD|S|1626269700000|1626271200000|14957.7|14998.9|14849.4|-198.34
TRD|L|1626702000000|1626702600000|14576.4|14498.2|14691.2|-190.08
TRD|S|1627316400000|1627394100000|15121.4|15142.4|15049|639.91
TRD|S|1628516100000|1628519700000|15083.5|15148.5|15013.5|-198
TRD|L|1629207300000|1629208500000|15027.8|14978.4|15140.2|-196.56
TRD|S|1629383700000|1629384900000|14837.4|14887.9|14714.2|-195.7
TRD|S|1629899400000|1629943500000|15369.6|15400.3|15337.4|193.37
TRD|S|1630590900000|1630603200000|15650.1|15681.8|15601|291.6
TRD|S|1631282400000|1631287500000|15622.4|15667.6|15553.9|299.2
TRD|L|1632236700000|1632255000000|15063.2|14988.6|15172.5|-204.12
TRD|L|1632837300000|1632837600000|14963.5|14920.3|15204.9|-203.32
# window 2022-01-01 (Итог +2197.26 / 14)
TRD|L|1632236700000|1632255000000|15063.2|14988.6|15172.5|-196.56
TRD|L|1632837300000|1632837600000|14963.5|14920.3|15204.9|-198.9
TRD|L|1633099500000|1633111500000|14602.4|14550.5|14756|566.47
TRD|S|1634312100000|1634325900000|15097.4|15134.8|15031.6|-207.36
TRD|S|1634913000000|1634915700000|15447.4|15475.6|15386.2|424.9
TRD|S|1635516000000|1635516300000|15687.7|15712.6|15608.7|-214.97
TRD|S|1636383000000|1636469700000|16342.1|16402.3|16273.6|224.4
TRD|L|1636555500000|1636568100000|16144.1|16048|16248.8|-203.91
TRD|L|1637766000000|1637784900000|16226.7|16103.9|16357|207.68
TRD|S|1638285600000|1638287400000|16394.5|16458.5|16241.8|487.04
TRD|S|1638377700000|1638384300000|16340.4|16430.5|16183.1|376.32
TRD|L|1638801600000|1638813000000|15669.6|15559.9|15808.6|277
TRD|L|1639492500000|1639494900000|15950.8|15857.3|16132.8|-226.8
TRD|L|1640019000000|1640108100000|15573.3|15500.4|15858.3|881.95
# window 2022-04-01 (Итог +219.55 / 13)
TRD|L|1640019000000|1640108100000|15573.3|15500.4|15858.3|768.15
TRD|L|1641482100000|1641483000000|15693|15606.8|15820.9|305.76
TRD|S|1641998400000|1641999900000|15922.5|16001.9|15772.9|-217.08
TRD|S|1642086000000|1642087800000|15916.8|15988.5|15830.4|257.7
TRD|L|1642523700000|1642527900000|15336.9|15269.1|15613.6|-220.16
TRD|S|1642606500000|1642625700000|15229.4|15384|15064.8|229.74
TRD|S|1643210400000|1643218500000|14409.9|14530.8|13938.1|-219.42
TRD|S|1644419700000|1644422400000|14871.3|14962.9|14755.3|-212.98
TRD|L|1645463700000|1645465200000|13799.5|13759|14165.7|-215.8
TRD|S|1646068200000|1646118300000|14168.8|14299.3|13694.3|-210.4
TRD|L|1646411700000|1646607600000|13804.2|13736.4|14090.1|-206.4
TRD|S|1648051500000|1648056300000|14628.1|14685.2|14522.8|366.8
TRD|S|1648561500000|1648579500000|15125.6|15218.4|14956.8|-206.36
# window 2022-08-01 (Итог -538.61 / 12)
TRD|L|1650639900000|1650641700000|13665.5|13580.5|13776.4|-197.8
TRD|L|1652112600000|1652118600000|12392.5|12240|12666.9|-184.2
TRD|L|1653056700000|1653058200000|11941.7|11873.8|12093.8|-192.92
TRD|L|1653313200000|1653314400000|11912.8|11817.6|12043.3|-182.78
TRD|S|1654092300000|1654094100000|12710.3|12822.3|12581.9|204.64
TRD|L|1655214600000|1655216400000|11341.9|11264.1|11502.8|-189.12
TRD|S|1655996400000|1655997000000|11647.6|11694.8|11424.9|-187.98
TRD|S|1657297500000|1657546500000|12060.8|12183.3|11923.1|192.08
TRD|S|1657892700000|1657893600000|11864.5|11955.5|11712.3|-184
TRD|S|1658153400000|1658166900000|12096.8|12157.8|11991.1|305.08
TRD|S|1658237700000|1658240700000|12002.3|12052|11861.9|-187.59
TRD|S|1659015300000|1659015900000|12560.3|12629.2|12457.5|265.98
# window 2022-11-01 (Итог +728.52 / 15)
TRD|S|1658153400000|1658166900000|12096.8|12157.8|11991.1|336.64
TRD|S|1658237700000|1658240700000|12002.3|12052|11861.9|-207.87
TRD|S|1659015300000|1659015900000|12560.3|12629.2|12457.5|296.67
TRD|S|1659971700000|1659975300000|13276.8|13400|13149.1|203.52
TRD|S|1660839600000|1660896900000|13488.4|13555.3|13391.4|299.15
TRD|S|1661440200000|1661456400000|13023.9|13105.8|12911.3|-215.54
TRD|L|1661960400000|1661967300000|12371|12292.1|12488.5|-215.73
TRD|L|1662042000000|1662042900000|12144.9|12085|12296.3|-213.15
TRD|L|1663249200000|1663251900000|12086.48|12030.85|12186.73|-204.12
TRD|L|1663861500000|1663905900000|11522.13|11448.25|11725.88|-202.23
TRD|L|1663943100000|1663947900000|11344.13|11276.5|11538|-198.94
TRD|L|1664545800000|1664550600000|11186.5|11088.5|11295.13|205.58
TRD|L|1665411900000|1665412500000|10986.88|10930.5|11080.75|-200.9
TRD|S|1666100100000|1666106400000|11307.75|11378.88|11082.13|608.04
TRD|L|1666622100000|1666704600000|11267.25|11164.38|11486.5|437.4
# window 2023-02-01 (Итог +798.84 / 8)
